COD_STRUTTURA_OD,STRUTTURA,ASSISTENZA,TIPO_RAPPORTO,NUM_UTENTI,NUM_POSTI,NUM_AMMISSIONI,NUM_DIMISSIONI,CareType,NumAssistanceDays,INDIRIZZO,CAP,COMUNE,TELEFONO,E_MAIL,SITO_WEB,LATITUDINE_P,LONGITUDINE_P,COMUNE
STR042101092100S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA RIVA DEL GARDA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,154,86,81.0,82.0,Residential,31091,VIA ARDARO  20/A RIVA DEL GARDA,38066,RIVA DEL GARDA,464554280,info@csarivadelgarda.it,www.csarivadelgarda.it,45.892039,10.841589,RIVA DEL GARDA
STR042101092200S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA DRO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,67,45,23.0,22.0,Residential,16349,VIA MOLINO  9,38074,DRO,464504325,info@residenzamolino.it,www.residenzamolino.it,45.962229,10.913738,DRO
STR042101092300S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA ARCO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,173,132,41.0,43.0,Residential,48042,VIA STRAPPAZOCCHE  18,38062,ARCO,464532032,info@fcda.it,www.fcda.it,45.917956,10.879609,ARCO
STR042101092500S09,RSA PICCOLE SUORE S.FAMIGLIA - ARCO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,79,59,21.0,20.0,Residential,21486,VIA NAS  4,38062,ARCO,464586100,sacrafamigliaarco@pssf.it,www.pssf.it,45.917617,10.876268,ARCO
STR042101100105S05,GRUPPO APPARTAMENTO PROTETTO ROVERETO,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,13,8,10.0,12.0,Residential,1509,VIA BENACENSE  17,38068,ROVERETO,464422944, ,www.apss.tn.it,45.8822992,11.0387709,ROVERETO
STR042101100202S05,COMUNITA' TERAPEUTICA RESIDENZIALE ALA,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,23,12,16.0,16.0,Residential,3331,PIAZZA GIOVANNI XXIII  13,38061,ALA,464675851, ,www.apss.tn.it,45.756172,11.000795,ALA
STR042101100702S09,RSAO SOLATRIX,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,120,20,104.0,105.0,Residential,7123,VIA BELLINI  11,38068,ROVERETO,464491111,info@casadicurasolatrix.it,www.casadicurasolatrix.it,45.898984,11.045548,ROVERETO
STR042101100703S09,RSA SOLATRIX - ST GESTIONI SOC.COOP. SOC.,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,90,60,30.0,30.0,Residential,21799,VIA BELLINI  11,38068,ROVERETO,464025511,info@gruppospes.it,www.gruppospes.it,45.898984,11.045548,ROVERETO
STR042101100900S11,VILLA MARIA - COOP SOC. -CENTRO RESIDENZIALE DISABILI - LENZIMA,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA NON DIRETTAMENTE GESTITA,69,35,103.0,104.0,Residential,12775,PIAZZA S  MARTINO  2   LENZIMA,38060,ISERA,464439060,segreteria@coopvillamaria.it,www.coopvillamaria.it,10.992596,45.87862,ISERA
STR042101100905S11,COMUNITA' RESIDENZIALE TEMPORANEA GIRASOLE - ROVERETO,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA NON DIRETTAMENTE GESTITA,12,9,5.0,7.0,Residential,2642,VIA FLAIM  3,38068,ROVERETO,464437209,com.residenziale@coopgirasole.org,www.coopgirasole.org,45.887377,11.039317,ROVERETO
STR042101103001S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA ROVERETO VIA VANNETTI,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,279,199,88.0,86.0,Residential,72294,VIA VANNETTI  6,38068,ROVERETO,464455000,info@apspvannetti.it,www.apspvannetti.it,45.889996,11.036813,ROVERETO
STR042101103002S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA ROVERETO VIA FEDRIGOTTI,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,98,72,27.0,26.0,Residential,26182,VIA FEDRIGOTTI  7,38068,ROVERETO,464406401,info@apspvannetti.it,www.apspvannetti.it,45.887021,11.019874,ROVERETO
STR042101103101S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA MORI,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,111,83,29.0,29.0,Residential,30230,VIA DEL GARDA  62,38065,MORI,464918152,segreteria@apsp-cesarebenedetti.it,www.apsp-cesarebenedetti.it,45.868975,10.964928,MORI
STR042101103103S12,HOSPICE MORI,ASSISTENZA AI MALATI TERMINALI,STRUTTURA NON DIRETTAMENTE GESTITA,142,12,141.0,141.0,Residential,2758,VIA DEL GARDA  54,38065,MORI,464918152,segreteria@apsp-cesarebenedetti.it,www.apsp-cesarebenedetti.it,45.868975,10.964928,MORI
STR042101103105S11,COMUNITA' RESIDENZIALE TEMPORANEA VILLA ARGIA - MORI,ASSISTENZA AI DISABILI PSICHICI,STRUTTURA NON DIRETTAMENTE GESTITA,14,10,1.0,5.0,Residential,3308,VIA DEL GARDA  101,38065,MORI,464917116,info@villaargia@libero.it, ,45.853533,10.963059,MORI
STR042101103201S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA FOLGARIA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,89,60,30.0,30.0,Residential,21809,VIA PAPA GIOVANNI XXIII  1,38064,FOLGARIA,464721174,amministrazione@casalaner.it,www.casalaner.it,45.919513,11.167603,FOLGARIA
STR042101103301S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA BRENTONICO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,98,71,24.0,24.0,Residential,25915,VIA BALISTA  7 BRENTONICO,38060,BRENTONICO,464395332,info@apspbrentonico.it,www.apspbrentonico.it,45.817434,10.95871,BRENTONICO
STR042101103401S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA AVIO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,79,64,14.0,15.0,Residential,23360,VIA CAMPAGNOLA  5,38063,AVIO,464688011,amministrazione@apspavio.it,www.apspavio.it,45.733699,10.937465,AVIO
STR042101103501S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA NOMI,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,240,168,75.0,75.0,Residential,61320,VIA ROMA  21,38060,NOMI,464839325,info@operaromani.it,www.operaromani.it,45.9295,11.0729,NOMI
STR042101103601S09,RSA PICCOLE SUORE S.FAMIGLIA - ROVERETO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,129,98,32.0,32.0,Residential,35663,VIA SAIBANTI 6/B,38068,ROVERETO,464430021,casasacrafamiglia.rovereto@pssf.it,www.pssf.it,45.939691,11.049042,ROVERETO
STR042101103701S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA VALLARSA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,44,35,9.0,9.0,Residential,12753,FRAZIONE CORTE  1,38060,VALLARSA,464869145,csa.vallarsa@tin.it,www.apspvallarsa.it,45.782714,11.11413,VALLARSA
STR042101110102S09,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA VIGO DI FASSA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,85,48,40.0,38.0,Residential,17520,STRADA DI PRÈ DE LEJIA  12,38039,VIGO DI FASSA,462760240,info@apspfassa.it,www.apspfassa.it,46.422655,11.678591,VIGO DI FASSA
STR042101030403S05,CENTRO DIURNO PSICHIATRICO BORGO/TONADICO,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,30,12,,,Semi-Residential,500,VIALE VICENZA  9,38051,BORGO VALSUGANA,461755208,psichiatriapergine@apss.tn.it,www.apss.tn.it,46.0568,11.4646,BORGO VALSUGANA
STR042101030405S09,CENTRO DIURNO PER ANZIANI - SCURELLE,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,28,14,,,Semi-Residential,2767,VIA XV AGOSTO  48,38050,SCURELLE,461754123,info@apspborgo.it, ,46.0639666,11.5127521,SCURELLE
STR042101032002S09,CENTRO DIURNO PER ANZIANI - CASTELLO TESINO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,2,4,,,Semi-Residential,42,VIA F LLI BALLERIN  1,38051,CASTELLO TESINO,461594166,upipa.castellotesino@mail.infotn.it, ,46.061351,11.632966,CASTELLO TESINO
STR042101040105S05,CENTRO DIURNO PSICHIATRICO PERGINE,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,60,15,,,Semi-Residential,1200,VIA SAN PIETRO 14,38057,PERGINE VALSUGANA,461515466,psichiatriapergine@apss.tn.it,www.apss.tn.it,46.0607017,11.2351627,PERGINE VALSUGANA
STR042101041204S09,CENTRO DIURNO PER ANZIANI - PERGINE,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,26,12,,,Semi-Residential,2548,VIA MARCONI  4,38057,PERGINE VALSUGANA,461531002,amministrazione@apsp-pergine.it, ,46.064968,11.2429,PERGINE VALSUGANA
STR042101041205S09,CENTRO DIURNO PRESA IN CARICO DEMENZE APSP,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,5,2,,,Semi-Residential,390,VIA MARCONI  4,38057,PERGINE VALSUGANA,461531002,amministrazione@apsp-pergine.it,www.apsp-pergine.it,11.2429,46.064968,PERGINE VALSUGANA
STR042101041304S09,CENTRO DIURNO PER ANZIANI - LEVICO TERME,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,26,14,,,Semi-Residential,3319,VIA CASOTTE  2,38056,LEVICO TERME,461706464,segreteria@apsplevicoterme.it, ,46.009267,11.302676,LEVICO TERME
STR042101050403S05,CENTRO DIURNO PSICHIATRICO MEZZOCORONA,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,25,14,,,Semi-Residential,352,VIA CANE   13,38016,MEZZOCORONA,461604396,angelo.mercurio@tn.apss.tn.it,www.apss.tn.it,46.215351,11.121026,MEZZOCORONA
STR042101050803S05,CENTRO DIURNO PSICHIATRICO TRENTO,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,86,20,,,Semi-Residential,5401,VIA PETRARCA  1,38122,TRENTO,461902850,francesca.munerati@apss.tn.it,www.apss.tn.it,46.07241,11.12383,TRENTO
STR042101052014S09,CENTRO DIURNO PER ANZIANI - GARDOLO - TN,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,58,25,,,Semi-Residential,5261,VIA S ANNA  5,38121,TRENTO,461816047,kaleidoscopio@consolida.it, ,46.109338,11.110928,TRENTO
STR042101052016S09,CENTRO DIURNO PER ANZIANI - CLARINA - TN,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,41,20,,,Semi-Residential,4983,VIA GRAMSCI  36,38123,TRENTO,461825296,delfino@consolida.it,http://www.delfino.coop,46.053467,11.12469,TRENTO
STR042101052017S09,CENTRO DIURNO PER ANZIANI - RAVINA - TN,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,33,15,,,Semi-Residential,3251,VIA BELVEDERE  4,38123,TRENTO,461825296,info@faicoop.com,www.faicoop.com,46.038443,11.107456,TRENTO
STR042101052018S09,CENTRO DIURNO PER ANZIANI - MATTARELLO - TN,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,30,14,,,Semi-Residential,2730,VIA DON TRENTINI  6,38123,TRENTO,461239596,info@cooperativasad.it,www.cooperativasad.it,46.005099,11.12842,TRENTO
STR042101052019S09,CENTRO DIURNO PER ANZIANI - POVO - TN,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,54,25,,,Semi-Residential,5613,VIA DELLA RESISTENZA  61/F,38123,TRENTO,461818102,info@apspgrazioli.it,http://www.apspgrazioli.it/,46.069256,11.161066,TRENTO
STR042101052020S09,CENTRO DIURNO ALZHEIMER - TRENTO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,49,23,,,Semi-Residential,6054,VIA S GIOVANNI BOSCO  10,38122,TRENTO,461385000,segreteria@civicatnapsp.it,http://www.civicatnapsp.it/,46.064656,11.126563,TRENTO
STR042101060204S05,CENTRO DIURNO PSICHIATRICO CLES,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,4,18,,,Semi-Residential,59,VIALE DEGASPERI  31,38023,CLES,463660272,luisa.ossana@apss.tn.it,www.apss.tn.it,46.3608,11.0323,CLES
STR042101060505S09,CENTRO DIURNO PER ANZIANI - CLES,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,20,6,,,Semi-Residential,1451,VIA CHINI  37,38023,CLES,463601311,info@apspcles.it, ,46.364397,11.029533,CLES
STR042101071202S09,CENTRO DIURNO ANZIANI - MALE',ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,8,4,,,Semi-Residential,990,VIALE 4 NOVEMBRE  4/A,38027,MALÈ,463902062,amministrazione@pec.centroservizimale.it,www.centroservizimale.it,46.351181,10.91003,MALÈ
STR042101080106S05,CENTRO DIURNO PSICHIATRICO TIONE,ASSISTENZA PSICHIATRICA,STRUTTURA DIRETTAMENTE GESTITA,20,12,,,Semi-Residential,469,VIA OSPEDALE  10,38080,TIONE DI TRENTO,465339720, , ,46.0413,10.7244,TIONE DI TRENTO
STR042101080107S09,CENTRO DIURNO PER ANZIANI - TIONE,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,23,12,,,Semi-Residential,2574,VIA MONS  PERLI  11,38079,TIONE DI TRENTO,465322635,organizzazione@coopassistenza.net, ,46.034903,10.72641,TIONE DI TRENTO
STR042101080207S09,CENTRO DIURNO PER ANZIANI - CONDINO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,36,14,,,Semi-Residential,2883,VIA C  BATTISTI  6,38083,BORGO CHIESE,465621047,upipa.condino@mail.infotn.it, ,45.889396,10.598116,BORGO CHIESE
STR042101080402S09,CENTRO DIURNO PER ANZIANI - VILLA RENDENA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,24,12,,,Semi-Residential,2265,C/O CASA APERTA PER ANZIANI,38080,PORTE DI RENDENA,465339526,serviziosocioassistenziale@comunitadellegiudicarie, ,10.713303,46.05525,PORTE DI RENDENA
STR042101092001S09,CENTRO DIURNO PER ANZIANI - BEZZECCA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,16,5,,,Semi-Residential,991,VIA G CIS   LOC  BEZZECCA  47,38067,LEDRO,464591042, , ,45.893867,10.722764,LEDRO
STR042101092101S09,CENTRO DIURNO PER ANZIANI - RIVA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,24,14,,,Semi-Residential,3194,VIA ARDARO  20/A,38066,RIVA DEL GARDA,464554280,info@csarivadelgarda.it, ,45.892039,10.841589,RIVA DEL GARDA
STR042101092301S09,CENTRO DIURNO PER ANZIANI - ARCO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,23,7,,,Semi-Residential,1557,VIA STRAPPAZOCCHE  18,38062,ARCO,464532032,info@feda.it, ,45.917956,10.879609,ARCO
STR042101100108S09,CENTRO DIURNO PER ANZIANI - LA CASA - ROVERETO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,22,17,,,Semi-Residential,3306,VIA S MARIA  95,38068,ROVERETO,3466120400,federica.dallaporta@cooplacasa.it, ,45.884757,11.04349,ROVERETO
STR042101100205S09,CENTRO DIURNO PER ANZIANI - ALA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,24,15,,,Semi-Residential,2784,PIAZZA GIOVANNI XXIII  2 4,38061,ALA,464484252,servizio.sociale@comunitàdellavallagarina.tn.it, ,45.7568166,11.0013118,ALA
STR042101103003S09,CENTRO DIURNO PER ANZIANI - VANNETTI - ROVERETO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,27,16,,,Semi-Residential,2835,VIA VANNETTI  2,38068,ROVERETO,464455006,massimiliano.colombo@apspvannetti.it, ,45.889826,11.037437,ROVERETO
STR042101103102S09,CENTRO DIURNO PER ANZIANI - MORI,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,19,12,,,Semi-Residential,2568,VIA DEL GARDA  54,38065,MORI,464918152,direttore@apsp-cesarebenedetti.it, ,45.868975,10.964928,MORI
STR042101103203S09,CENTRO DIURNO PER ANZIANI - FOLGARIA,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,7,4,,,Semi-Residential,633,VIA PAPA GIOVANNI XXIII  1,38064,FOLGARIA,464721174,amministrazione@casalaner.it, ,45.914805,11.1648721,FOLGARIA
STR042101103303S09,CENTRO DIURNO PER ANZIANI - BRENTONICO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,12,6,,,Semi-Residential,1312,VIA BALISTA  7,38060,BRENTONICO,464395332,direttore@apspbrentonico.it, ,45.817434,10.95871,BRENTONICO
STR042101103402S09,CENTRO DIURNO PER ANZIANI - AVIO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,4,4,,,Semi-Residential,488,VIA CAMPAGNOLA  5,38063,AVIO,464688023,direttore@apspavio.it, ,45.733699,10.937465,AVIO
STR042101103502S09,CENTRO DIURNO PER ANZIANI - NOMI,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,17,12,,,Semi-Residential,2363,VIA ROMA  21,38060,NOMI,464839422,info@operaromani.it, ,45.9295,11.0729,NOMI
STR042101103602S09,CENTRO DIURNO ALZHEIMER - ROVERETO,ASSISTENZA AGLI ANZIANI,STRUTTURA NON DIRETTAMENTE GESTITA,21,15,,,Semi-Residential,2949,VIA SAIBANTI  6/B,38068,ROVERETO,464430021,casasacrafamiglia.rovereto@pssf, ,45.939691,11.049042,ROVERETO
